,Username,Caption,Followers,Hashtags,Likes,Time since posted (hours)
14,ansonmccade,Do you really need #blockchain?,2904,#blockchaintechnology #blockchains #tech#technology #IoT #InternetOfThings#Bitcoin #business #businessintelligence#BI #AI #ArtificialIntelligence #ML#MachineLearning #infographic #DL#DeepLearning #data #bigdata#datascience,28,3
15,jennifercodes,I went to DevFest in DC and had so much fun. Heard some great talks and had fun at happy hour watching the robot derby,971,#google #Android#machinelearning #womenwhocode#devfestdc #gdg,53,3
16,eligible.api,"GG, you always have the best T-shirts! 🔥❄️💉 #codeblooded",285,#Eligible #EligibleAPI #HealthCare#HealthCareTech #HealthIT #engineering#Programming #Code #Software #API#HIPAA #AI #MachineLearning#DeepLearning #Tech #StartupLife#DataScience #security #Compliance,29,4
17,ale_borba,Let's talk about ML Kit for our Google Play Partners in Mexico!,520,#MxPartnerDay #MLKit #machinelearning#android #google #googleplay,46,4
18,amjstaffing,Shout out to #LinkedIn for the awesome lunch-n-learn yesterday and hooking us up with all the @linkedin swag 👕😎 .,75,#engineer #machinelearning #automotive#automation #machinery #engineering#engineers #wbe #careers #jobs#technology #robotics #robots #cnc #ai#machines #manufacturing #wcw#puremichigan #staffing,30,4
19,writtorg,"""It is this perfect accuracy, this lack of play, of variety, that makes the machine-made article so lifeless.""",2691,#newread #whattoread #summerreads#nowreading #readingislife #bookworm#booknerds #writt #writtorg #wellread#bookreco #bookrecommendations#whatareyoureading #igbooks #igreads#bookclub #bookalicious #classicliterature#classicbooks #bestquotes #quotes#goodreads #bookaddict #bookoftheday#quoteoftheday #machinelearning#machines #creativity #art,34,4
20,superdatascience,Live Population in Manhattan (hour-by-hour). Gif credit: @citrusvanilla .,966, #datascience #data #tech #technology#future #machinelearning #ai#visualizations #dataisbeautiful,198,5
21,xotivtechnologies,The Various Aspects of Artificial Intelligence we should keep in mind. #Artificial #Intelligence is the new era for technologies to grow our business and provide powerful services.,334,#Artificial #Intelligence #AI #MachineLearning #DeepLearning #Robotics #BigData #Dataviz #Analytics #SMM #IoT #Sensors #Xotiv #NLP #datascience #graph #graphanalysis #visualisation #image #analytics #imageanalytics #coder #software #business #Development,19,2
22,onthetopsearch,"“No one buys things from Facebook.” “Instagram is a fad.” “Snapchat will soon be gone.” We didn’t buy into what traditional marketing agencies said and our clients have reaped the benefits. Now, traditional marketers are scrambling to learn what we have been doing for years.At On The Top Search, we don’t quit. Ever. We will go to exhaustive measures to ensure your experience with us has a positive ROI. If not, drop us.",1041,#digitalmarketing #machinelearning#entrepreneurship #businessminded#fourthofjuly,20,2
23,mikequindazzi,8.5 billion more #smartphones by 2021 will help democratize #AI around the world >> @Qualcomm via @MikeQuindazzi >> #DeepLearning #MachineLearning#ArtificialIntelligence #IoT #BigData#HealthTech #IIoT #Mobile #Infographics >> http://buff.ly/2xcWSLb,4496,#DeepLearning #MachineLearning#ArtificialIntelligence #IoT #BigData#HealthTech #IIoT #Mobile #Infographics #smartphones #AI,11,2
